,factor,date,quantile,ret
0,momentum_20,2025-02-11,Q1,-0.015084300744356738
1,momentum_20,2025-02-12,Q1,0.0014409973536490261
2,momentum_20,2025-02-13,Q1,0.023020602142345494
3,momentum_20,2025-02-14,Q1,0.02395473626866861
4,momentum_20,2025-02-17,Q1,0.027153871217783707
5,momentum_20,2025-02-18,Q1,0.003153521769805212
6,momentum_20,2025-02-19,Q1,0.02866144295504534
7,momentum_20,2025-02-20,Q1,0.03939703863883612
8,momentum_20,2025-02-21,Q1,0.018291091937112005
9,momentum_20,2025-02-24,Q1,0.01470267071018804
10,momentum_20,2025-02-25,Q1,0.0014380165713828294
11,momentum_20,2025-02-26,Q1,-0.003659927877224607
12,momentum_20,2025-02-27,Q1,-0.0010021431117123454
13,momentum_20,2025-02-28,Q1,0.010492469570130565
14,momentum_20,2025-03-03,Q1,0.01550094155555308
15,momentum_20,2025-03-04,Q1,0.015332930427488184
16,momentum_20,2025-03-05,Q1,0.02221301612770221
17,momentum_20,2025-03-06,Q1,0.011323072160343122
18,momentum_20,2025-03-07,Q1,0.0338059132877494
19,momentum_20,2025-03-10,Q1,0.0333653988413881
20,momentum_20,2025-03-11,Q1,0.029877700038584577
21,momentum_20,2025-03-12,Q1,0.016979196625806933
22,momentum_20,2025-03-13,Q1,0.023586731254361906
23,momentum_20,2025-03-14,Q1,-0.014399291947029918
24,momentum_20,2025-03-17,Q1,-0.03770519542776881
25,momentum_20,2025-03-18,Q1,-0.02881426686548717
26,momentum_20,2025-03-19,Q1,-0.026718733831663365
27,momentum_20,2025-03-20,Q1,-0.030740426882181465
28,momentum_20,2025-03-21,Q1,-0.029621510938245547
29,momentum_20,2025-03-24,Q1,-0.02685828665958457
30,momentum_20,2025-03-25,Q1,-0.01696502214279086
31,momentum_20,2025-03-26,Q1,-0.02723588181624386
32,momentum_20,2025-03-27,Q1,-0.023295115454216916
33,momentum_20,2025-03-28,Q1,-0.1269855372960985
34,momentum_20,2025-03-31,Q1,-0.1138584856861371
35,momentum_20,2025-04-01,Q1,-0.09711716948446504
36,momentum_20,2025-04-02,Q1,-0.07249189110913463
37,momentum_20,2025-04-03,Q1,-0.07160950359594823
38,momentum_20,2025-04-07,Q1,0.10595965592713591
39,momentum_20,2025-04-08,Q1,0.10686801732879263
40,momentum_20,2025-04-09,Q1,0.04838610025591252
41,momentum_20,2025-04-10,Q1,0.01579926172789102
42,momentum_20,2025-04-11,Q1,0.009023534512883916
43,momentum_20,2025-04-14,Q1,0.010896643756646734
44,momentum_20,2025-04-15,Q1,0.007114081123937255
45,momentum_20,2025-04-16,Q1,0.0471796170466883
46,momentum_20,2025-04-17,Q1,0.02880677092177644
47,momentum_20,2025-04-18,Q1,0.026915140858855432
48,momentum_20,2025-04-21,Q1,-0.00971158480202111
49,momentum_20,2025-04-22,Q1,0.007352415170577224
50,momentum_20,2025-04-23,Q1,-0.0012203539711237797
51,momentum_20,2025-04-24,Q1,0.05558885802821619
52,momentum_20,2025-04-25,Q1,0.061249950955314006
53,momentum_20,2025-04-28,Q1,0.09079452464988509
54,momentum_20,2025-04-29,Q1,0.057936416032663265
55,momentum_20,2025-04-30,Q1,0.05564714613205343
56,momentum_20,2025-05-06,Q1,0.023906589385959045
57,momentum_20,2025-05-07,Q1,0.0181624616788305
58,momentum_20,2025-05-08,Q1,0.0035072772933461734
59,momentum_20,2025-05-09,Q1,0.008658460520505402
60,momentum_20,2025-05-12,Q1,0.016703243068806405
61,momentum_20,2025-05-13,Q1,0.017995069627334125
62,momentum_20,2025-05-14,Q1,0.01277912030567224
63,momentum_20,2025-05-15,Q1,0.0025697754390438935
64,momentum_20,2025-05-16,Q1,-0.009848602308780817
65,momentum_20,2025-05-19,Q1,-0.01523708985852139
66,momentum_20,2025-05-20,Q1,-0.018075105776516345
67,momentum_20,2025-05-21,Q1,-0.01822567219476148
68,momentum_20,2025-05-22,Q1,0.007600053775175566
69,momentum_20,2025-05-23,Q1,0.013986978288736936
70,momentum_20,2025-05-26,Q1,0.012764186298789348
71,momentum_20,2025-05-27,Q1,0.018445253114098427
72,momentum_20,2025-05-28,Q1,0.021296624816652617
73,momentum_20,2025-05-29,Q1,0.005827202664251754
74,momentum_20,2025-05-30,Q1,0.023521891635708062
75,momentum_20,2025-06-03,Q1,0.01468405672092846
76,momentum_20,2025-06-04,Q1,0.012656886781738454
77,momentum_20,2025-06-05,Q1,0.004283746993312877
78,momentum_20,2025-06-06,Q1,-0.015910762432665898
79,momentum_20,2025-06-09,Q1,-0.014501309495792803
80,momentum_20,2025-06-10,Q1,-0.002165026782392669
81,momentum_20,2025-06-11,Q1,-0.015039192743566429
82,momentum_20,2025-06-12,Q1,-0.030436644577879205
83,momentum_20,2025-06-13,Q1,-0.0230852092618231
84,momentum_20,2025-06-16,Q1,-0.016886009592663485
85,momentum_20,2025-06-17,Q1,0.0037239802010798828
86,momentum_20,2025-06-18,Q1,0.018117096488809836
87,momentum_20,2025-06-19,Q1,0.03408375052047321
88,momentum_20,2025-06-20,Q1,0.0465646795915968
89,momentum_20,2025-06-23,Q1,0.04062929222015461
90,momentum_20,2025-06-24,Q1,0.0230671310159308
91,momentum_20,2025-06-25,Q1,0.017038709712319154
92,momentum_20,2025-06-26,Q1,0.026590644259354916
93,momentum_20,2025-06-27,Q1,0.016069475870026963
94,momentum_20,2025-06-30,Q1,0.019569957671355317
95,momentum_20,2025-07-01,Q1,0.013968709751449702
96,momentum_20,2025-07-02,Q1,0.013868518268918653
97,momentum_20,2025-07-03,Q1,0.012369857927242359
98,momentum_20,2025-07-04,Q1,0.025172485022331777
99,momentum_20,2025-07-07,Q1,0.01972156075800366
100,momentum_20,2025-07-08,Q1,-0.004994507707259584
