日期,事件,备注
2025-10-30,港股通关闭,香港重阳节北向通道暂停
2025-10-31,MSCI季度调样盘后锁定,被动资金尾盘调仓
2025-11-01,MSCI季度调样生效日,影响北向资金
2025-11-07,美国10月非农,美联储降息预期再定价
2025-11-08,中证11月指数调样生效,科创50/100/北证50等
2025-11-14,中国10月宏观数据+MLF,工业/消费/投资数据
2025-11-27,感恩节美股休市,北向缺席/美股提前收盘
2025-12-01,中国11月PMI,官方+财新同日
2025-12-05,中国11月CPI/PPI+美ISM非制造业,双重物价信号
2025-12-15,9500亿MLF到期,年内最大单周
2025-12-18,美联储FOMC+点阵图+期指交割,美股&A股同步高波
2025-12-19,中国11月宏观数据,工业/消费/投资+房价
2025-12-22,LPR报价,若MLF下调则本次跟进
2025-12-24,圣诞夜前美股提前收盘,北向下午关闭
2025-12-25,圣诞行情+年末逆回购,游资活跃/利率易飙升
2025-12-30,跨元旦逆回购最佳日,1天期享6天息
2025-12-31,全年收官+公募净值确认+北向仅上午,年线阴阳决战
2026-01-16,1月期指交割,沪深300/上证50/中证500/1000
2026-01-30,科创50/100/北证50季度考察截止日,数据锁定
2026-01-31,季度调样数据截止,科创/北证系列
2026-02-20,2月期指交割,
2026-02-24,春节长假逆回购黄金日,1天期≈9天息
2026-02-26,春节长假开始,A股休市8天
2026-03-05,全国两会开幕,政策预期最高潮
2026-03-17,美联储FOMC+点阵图,
2026-03-20,3月期指交割,
2026-04-02,清明长假逆回购日,1天期≈5天息
2026-04-04,清明长假开始,休市3天
2026-04-17,4月期指交割,
2026-04-30,4月政治局会议+半年度指数考察截止,沪深300/中证500/上证50等
2026-05-01,五一长假开始,休市5天
2026-05-03,伯克希尔股东大会,
2026-05-15,5月期指交割,
2026-05-20,宁德时代港交所挂牌,H股溢价开盘
2026-05-23,欧盟电动车反补贴终裁,关税敏感
2026-05-26,佛诞港股休市,
2026-06-08,苹果WWDC2026,MR/AI终端链
2026-06-15,特斯拉Robotaxi Day,
2026-06-16,美联储FOMC+点阵图,
2026-06-17,端午长假逆回购日,1天期≈5天息
2026-06-19,端午长假开始,休市3天
2026-06-20,6月期指交割,
2026-07-17,7月期指交割,
2026-07-31,季度调样数据截止,科创/北证系列
2026-08-21,8月期指交割,
2026-08-28,MSCI季度调样生效,
2026-09-15,美联储FOMC+点阵图,
2026-09-18,9月期指交割,
2026-09-29,国庆长假逆回购黄金日,1天期≈9天息
2026-10-01,中秋+国庆长假开始,休市8天
2026-10-16,10月期指交割,
2026-10-31,季度调样数据截止+三季报截止,科创/北证系列
2026-11-03,美国中期选举,出口链/关税敏感
2026-11-15,广州车展开幕,新能源年底冲刺
2026-11-20,11月期指交割,
2026-11-27,MSCI季度调样生效,
2026-12-08,美联储FOMC+点阵图,
2026-12-18,12月期指交割,
2026-12-31,年末收官+逆回购6天息,全年最后交易日
