datetime,alpha101__alpha001,alpha101__alpha002,alpha101__alpha003,alpha101__alpha004,alpha101__alpha005,alpha101__alpha006,alpha101__alpha007,alpha101__alpha008,alpha101__alpha009,alpha101__alpha010,alpha101__alpha011,alpha101__alpha012,alpha101__alpha013,alpha101__alpha014,alpha101__alpha015,alpha101__alpha016,alpha101__alpha017,alpha101__alpha018,alpha101__alpha019,alpha101__alpha020,alpha101__alpha021,alpha101__alpha022,alpha101__alpha023,alpha101__alpha024,alpha101__alpha025,alpha101__alpha026,alpha101__alpha027,alpha101__alpha028,alpha101__alpha029,alpha101__alpha030,alpha101__alpha031,alpha101__alpha032,alpha101__alpha033,alpha101__alpha034,alpha101__alpha035,alpha101__alpha036,alpha101__alpha037,alpha101__alpha038,alpha101__alpha039,alpha101__alpha040,alpha101__alpha041,alpha101__alpha042,alpha101__alpha043,alpha101__alpha044,alpha101__alpha045,alpha101__alpha046,alpha101__alpha047,alpha101__alpha048,alpha101__alpha049,alpha101__alpha050,alpha101__alpha051,alpha101__alpha052,alpha101__alpha053,alpha101__alpha054,alpha101__alpha055,alpha101__alpha056,alpha101__alpha057,alpha101__alpha058,alpha101__alpha059,alpha101__alpha060,alpha101__alpha061,alpha101__alpha062,alpha101__alpha063,alpha101__alpha064,alpha101__alpha065,alpha101__alpha066,alpha101__alpha067,alpha101__alpha068,alpha101__alpha069,alpha101__alpha070,alpha101__alpha071,alpha101__alpha072,alpha101__alpha073,alpha101__alpha074,alpha101__alpha075,alpha101__alpha076,alpha101__alpha077,alpha101__alpha078,alpha101__alpha079,alpha101__alpha080,alpha101__alpha081,alpha101__alpha082,alpha101__alpha083,alpha101__alpha084,alpha101__alpha085,alpha101__alpha086,alpha101__alpha087,alpha101__alpha088,alpha101__alpha089,alpha101__alpha090,alpha101__alpha091,alpha101__alpha092,alpha101__alpha093,alpha101__alpha094,alpha101__alpha095,alpha101__alpha096,alpha101__alpha097,alpha101__alpha098,alpha101__alpha099,alpha101__alpha100,alpha101__alpha101
2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4767868016029765,,,,,,,,0.04382748199968131,-0.033815582461379126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04,,,,,,,,,-0.2406384475120887,0.24466375846917765,,0.09741810562747,,,,,,,,0.04255336170401893,,,,,,,,,,,,,-0.374055372522587,,,,,,,,0.03229874467564982,-0.03097383502582765,,,,-0.2406384475120887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05,,,,,,,,,-0.33173045912336513,0.3342830488560162,,-0.3444165563296066,,,,,,,,0.03651151679463105,,,,,,,,,,,,,-0.5277829877145769,,,,,,,,0.029133667814866298,-0.030472915266558973,,,,-0.33173045912336513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06,,,,,,,,,-0.18623997586755567,0.18580809754779004,0.3142634918165757,-0.20195411528354737,,,,,,,,0.13881622449318684,,,,,,,,,,,,,-0.1360093690141449,,,,,,,,0.034078091330546983,-0.029606760052264015,,,,-0.18623997586755567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07,,,,,,,,,0.1284229612356064,-0.12932988144312715,0.07159569235165904,0.18590656024331673,-0.04174333745965254,,-0.12937068637171342,-0.2675465282947588,,,,0.047230302558917324,,,,,,,,,,,,,0.06639540439338215,,,,,,,,0.02608882470812883,-0.02360551000560814,,-0.13494194379937555,,0.1284229612356064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08,,,,,,,,,-0.13892267586240867,0.2611479065980576,0.08757697307747864,0.1569311248765994,-0.09880974689099227,,-0.07666657129777979,-0.13318992433249258,,,,-0.059694441049344994,,,,,,,,,,,,,-0.19475905287836529,0.07045406009405675,,,,,,,0.004607847791399328,0.0011780066807668453,,-0.12873031922576916,,-0.26445624559308345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-11,,,,,,,,,-0.08936034663847499,0.12844059327653704,0.10846609406771185,0.04035721664536878,0.06181872488905796,,0.029754296290736268,0.09936332625918065,,,,-0.027712307914532382,,,,,,,,,,,,,-0.0775158294046939,-0.12320401233388145,,,,,,,-0.04793251396789754,0.052190856410198175,,0.062380193486117036,,-0.1267648933947565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-12,,0.08801964466271847,,,,,,,-0.136136044073831,0.14378102819184205,0.04558361759575106,0.02042394410290826,-0.041617331505796,,0.017524616029583072,0.008388537650418337,,,,-0.14967321859131766,,,,,,,,,,,,,-0.021973142800763425,-0.07355703642172505,,,,,,,-0.2265484393250659,0.23145381316631752,,-0.00688020470920967,,-0.13532326422504443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,,0.06581450905010056,,0.13115651027347444,,,,,-0.15548296729625055,0.10138120735258802,0.061465134219839956,0.016022070440773625,-0.020125772197480532,,-0.06802098717450447,0.0978557539528217,,,,-0.152006577850865,,,,,,,,,,,,,-0.06917292230580155,-0.1236741185598092,,,,,,,-0.21873222183837135,0.2244093829529415,,0.04909833673767144,,-0.10086510660064478,,,,0.01761192988588362,,,,,,,,,,,,,,0.16460689503051504,,,,,,,,,,,,,,,,,,,,0.13844412953450666,,,,,,,,,,,,,,,,-0.11044197969912539,
2024-11-14,,-0.00955921732463694,-0.04992144930994711,-0.10703221874278795,-0.08861724624374312,0.052981477571973024,,,-0.09285260139042309,0.04026245183418194,0.017180637249373684,-0.022328010596985873,-0.025459168004246968,0.0944823831375904,-0.036196121444916046,0.15683107590084333,-0.06684601573440238,-0.11375104167824086,,-0.13849576106401185,,,,,,,,,,,,,-0.0927732369767221,-0.23328440649029,,,,-0.03297703674230142,,0.18746963855153945,-0.19308950440193878,0.2014720625374058,,0.08965949136944175,,-0.1984908157828391,,,,0.02187459927613383,,,,,,,,,,,,,,0.0644115389753436,,,,,,,,,,,,,,,,-0.04149126966129507,,,,0.051084110284165075,,,,,,,,,,,,,,,,0.017466435700891573,
